Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2025-05-19","(not set)",66943,66036
"2025-05-20","(not set)",69261,69412
"2025-05-21","(not set)",68409,67644
"2025-05-22","(not set)",65977,65132
"2025-05-23","(not set)",69671,69611
"2025-05-24","(not set)",69049,68668
"2025-05-25","(not set)",70682,70353
"2025-05-26","(not set)",70402,70178
"2025-05-27","(not set)",72804,71505
"2025-05-28","(not set)",70891,70887
"2025-05-29","(not set)",69802,69770
"2025-05-30","(not set)",67156,66058
"2025-05-31","(not set)",70952,70350
"2025-06-01","(not set)",69238,68920
"2025-06-02","(not set)",63928,63281
"2025-06-03","(not set)",65118,65019
"2025-06-04","(not set)",65466,65321
"2025-06-05","(not set)",68925,68838
"2025-06-06","(not set)",73283,72730
"2025-06-07","(not set)",65195,64397
"2025-06-08","(not set)",63083,62750
"2025-06-09","(not set)",63825,62246
"2025-06-10","(not set)",66488,66599
"2025-06-11","(not set)",69873,68638
"2025-06-12","(not set)",69095,68406
"2025-06-13","(not set)",67848,66856
"2025-06-14","(not set)",64142,63403
"2025-06-15","(not set)",61338,61700
"2025-06-16","(not set)",64892,64370
"2025-06-17","(not set)",65847,65379
"2025-06-18","(not set)",63345,62787
"2025-06-19","(not set)",64219,62966
"2025-06-20","(not set)",65834,64517
"2025-06-21","(not set)",65088,64816
"2025-06-22","(not set)",60157,59367
"2025-06-23","(not set)",60065,59199
"2025-06-24","(not set)",83669,83665
"2025-06-25","(not set)",79979,80193
"2025-06-26","(not set)",75461,76067
"2025-06-27","(not set)",76126,75080
"2025-06-28","(not set)",69727,70044
"2025-06-29","(not set)",66870,67576
"2025-06-30","(not set)",69421,69888
"2025-07-01","(not set)",68888,68156
"2025-07-02","(not set)",65460,64625
"2025-07-03","(not set)",65409,65463
"2025-07-04","(not set)",63135,62403
"2025-07-05","(not set)",60907,60356
"2025-07-06","(not set)",60508,59260
"2025-07-07","(not set)",62804,62496
"2025-07-08","(not set)",81121,80601
"2025-07-09","(not set)",70349,69239
"2025-07-10","(not set)",68848,67667
"2025-07-11","(not set)",70721,69716
"2025-07-12","(not set)",66746,66673
"2025-07-13","(not set)",63457,63397
"2025-07-14","(not set)",65574,66440
"2025-07-15","(not set)",70716,70571
"2025-07-16","(not set)",69895,69207
"2025-07-17","(not set)",68095,68324
"2025-07-18","(not set)",70132,69786
"2025-07-19","(not set)",68007,67894
"2025-07-20","(not set)",63242,62335
"2025-07-21","(not set)",63629,63491
"2025-07-22","(not set)",65527,65027
"2025-07-23","(not set)",64863,64438
"2025-07-24","(not set)",62900,62378
"2025-07-25","(not set)",63943,63663
"2025-07-26","(not set)",62804,62729
"2025-07-27","(not set)",61324,60214
"2025-07-28","(not set)",62633,63146
"2025-07-29","(not set)",62931,61925
"2025-07-30","(not set)",61625,61221
"2025-07-31","(not set)",66199,65716
"2025-08-01","(not set)",66252,65915
"2025-08-02","(not set)",62979,63057
"2025-08-03","(not set)",61577,61921
"2025-08-04","(not set)",60335,60098
"2025-08-05","(not set)",62230,61647
"2025-08-06","(not set)",59705,59101
"2025-08-07","(not set)",60226,59928
"2025-08-08","(not set)",58478,58056
"2025-08-09","(not set)",56969,56726
"2025-08-10","(not set)",54093,53582
"2025-08-11","(not set)",56978,56606
"2025-08-12","(not set)",68758,68516
"2025-08-13","(not set)",68568,68207
"2025-08-14","(not set)",65777,65069
"2025-08-15","(not set)",64953,64182
"2025-08-16","(not set)",63986,64318
"2025-08-17","(not set)",59471,59049
"2025-08-18","(not set)",61333,61443
"2025-08-19","(not set)",78297,78258
"2025-08-20","(not set)",66383,65496
"2025-08-21","(not set)",64156,64479
"2025-08-22","(not set)",61496,60896
"2025-08-23","(not set)",62374,62349
"2025-08-24","(not set)",62658,62380
"2025-08-25","(not set)",61438,60268
"2025-08-26","(not set)",61829,61538
"2025-08-27","(not set)",59224,58313
"2025-08-28","(not set)",58927,57682
"2025-08-29","(not set)",60517,60205
"2025-08-30","(not set)",62608,62309
"2025-08-31","(not set)",60319,60167
"2025-09-01","(not set)",60119,59624
"2025-09-02","(not set)",58537,58725
"2025-09-03","(not set)",59343,58588
"2025-09-04","(not set)",57129,57491
"2025-09-05","(not set)",58412,58350
"2025-09-06","(not set)",56758,56687
"2025-09-07","(not set)",54031,53503
"2025-09-08","(not set)",54512,54029
"2025-09-09","(not set)",54444,55320
"2025-09-10","(not set)",56579,56336
"2025-09-11","(not set)",59750,59599
"2025-09-12","(not set)",61039,60416
"2025-09-13","(not set)",57936,58481
"2025-09-14","(not set)",53651,53071
"2025-09-15","(not set)",54384,54349
"2025-09-16","(not set)",55416,54990
"2025-09-17","(not set)",54972,54056
"2025-09-18","(not set)",57106,57258
"2025-09-19","(not set)",57323,56886
"2025-09-20","(not set)",55433,54803
"2025-09-21","(not set)",51186,50723
"2025-09-22","(not set)",53818,52854
"2025-09-23","(not set)",55934,56230
"2025-09-24","(not set)",55466,55316
"2025-09-25","(not set)",54653,53951
"2025-09-26","(not set)",55753,54835
"2025-09-27","(not set)",54037,53495
"2025-09-28","(not set)",54775,54162
"2025-09-29","(not set)",55001,54777
"2025-09-30","(not set)",54128,53901
"2025-10-01","(not set)",51502,51475
"2025-10-02","(not set)",50324,49946
"2025-10-03","(not set)",53494,53276
"2025-10-04","(not set)",51751,51392
"2025-10-05","(not set)",50866,50138
"2025-10-06","(not set)",53101,52877
"2025-10-07","(not set)",59274,59451
"2025-10-08","(not set)",74021,73947
"2025-10-09","(not set)",64135,63292
"2025-10-10","(not set)",61765,61125
"2025-10-11","(not set)",53982,53655
"2025-10-12","(not set)",53409,52815
"2025-10-13","(not set)",55523,55052
"2025-10-14","(not set)",52809,52700
"2025-10-15","(not set)",55762,55470
"2025-10-16","(not set)",53122,52978
"2025-10-17","(not set)",53860,52932
"2025-10-18","(not set)",53201,53355
"2025-10-19","(not set)",52089,51157
"2025-10-20","(not set)",51550,51145
"2025-10-21","(not set)",50118,49720
"2025-10-22","(not set)",52715,53106
"2025-10-23","(not set)",51774,51382
"2025-10-24","(not set)",50948,50095
"2025-10-25","(not set)",52663,52539
"2025-10-26","(not set)",48225,48233
"2025-10-27","(not set)",49225,48948
"2025-10-28","(not set)",52786,52468
"2025-10-29","(not set)",49911,49412
"2025-10-30","(not set)",50650,50190
"2025-10-31","(not set)",49004,48415
"2025-11-01","(not set)",50370,50358
"2025-11-02","(not set)",48644,48580
"2025-11-03","(not set)",47525,47423
"2025-11-04","(not set)",50681,50137
"2025-11-05","(not set)",51098,50838
"2025-11-06","(not set)",48910,48806
"2025-11-07","(not set)",49163,48459
"2025-11-08","(not set)",50298,50105
"2025-11-09","(not set)",45966,45747
"2025-11-10","(not set)",44928,44026
"2025-11-11","(not set)",46348,45781
"2025-11-12","(not set)",46690,46579
"2025-11-13","(not set)",47269,47500
"2025-11-14","(not set)",48694,48385
"2025-11-15","(not set)",46115,45498
"2025-11-16","(not set)",46412,46323
"2025-11-17","(not set)",47386,46910
"2025-11-18","(not set)",48003,47997
"2025-11-19","(not set)",48534,47640
"2025-11-20","(not set)",45738,45363
"2025-11-21","(not set)",47498,47568
"2025-11-22","(not set)",45489,45375
"2025-11-23","(not set)",44442,44245
"2025-11-24","(not set)",44833,44482
"2025-11-25","(not set)",44861,44601
"2025-11-26","(not set)",45179,44679
"2025-11-27","(not set)",45215,44632
"2025-11-28","(not set)",43969,43583
"2025-11-29","(not set)",43520,43364
"2025-11-30","(not set)",43044,43083
"2025-12-01","(not set)",43523,43698
"2025-12-02","(not set)",47481,47315
"2025-12-03","(not set)",46452,46236
"2025-12-04","(not set)",48787,48183
"2025-12-05","(not set)",48620,48319
"2025-12-06","(not set)",47297,47182
"2025-12-07","(not set)",42944,43128
"2025-12-08","(not set)",44160,43390
"2025-12-09","(not set)",46759,46661
"2025-12-10","(not set)",50985,51100
"2025-12-11","(not set)",46673,46610
