Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2025-04-23","(not set)",16,16
"2025-04-24","(not set)",15,15
"2025-04-24","plans_offer_annual_highlighted",1,1
"2025-04-25","(not set)",17,16
"2025-04-26","(not set)",14,13
"2025-04-27","(not set)",18,17
"2025-04-28","(not set)",12,12
"2025-04-29","(not set)",8,8
"2025-04-29","plans_offer_annual_highlighted",1,1
"2025-04-30","(not set)",10,10
"2025-05-01","(not set)",28,25
"2025-05-02","(not set)",14,14
"2025-05-03","(not set)",25,25
"2025-05-04","(not set)",16,16
"2025-05-05","(not set)",14,13
"2025-05-06","(not set)",21,20
"2025-05-07","(not set)",13,13
"2025-05-07","plans_offer_annual_highlighted",1,1
"2025-05-08","(not set)",17,17
"2025-05-09","(not set)",16,16
"2025-05-10","(not set)",20,20
"2025-05-11","(not set)",18,17
"2025-05-12","(not set)",14,14
"2025-05-13","(not set)",16,16
"2025-05-14","(not set)",13,13
"2025-05-15","(not set)",20,20
"2025-05-16","(not set)",14,14
"2025-05-17","(not set)",17,16
"2025-05-18","(not set)",17,17
"2025-05-19","(not set)",17,17
"2025-05-20","(not set)",19,19
"2025-05-21","(not set)",16,16
"2025-05-22","(not set)",19,19
"2025-05-23","(not set)",15,14
"2025-05-24","(not set)",15,15
"2025-05-25","(not set)",19,18
"2025-05-26","(not set)",18,18
"2025-05-27","(not set)",13,13
"2025-05-28","(not set)",18,18
"2025-05-29","(not set)",15,14
"2025-05-30","(not set)",14,14
"2025-05-31","(not set)",20,20
"2025-06-01","(not set)",18,18
"2025-06-02","(not set)",22,22
"2025-06-03","(not set)",14,14
"2025-06-04","(not set)",15,15
"2025-06-04","plans_offer_annual_highlighted",1,1
"2025-06-05","(not set)",17,17
"2025-06-05","trial_white_animation_all_features",1,1
"2025-06-06","(not set)",21,21
"2025-06-07","(not set)",10,10
"2025-06-08","(not set)",19,18
"2025-06-09","(not set)",19,19
"2025-06-10","(not set)",19,19
"2025-06-11","(not set)",17,17
"2025-06-12","(not set)",13,12
"2025-06-13","(not set)",17,17
"2025-06-14","(not set)",17,16
"2025-06-15","(not set)",13,13
"2025-06-16","(not set)",19,19
"2025-06-17","(not set)",21,21
"2025-06-18","(not set)",21,21
"2025-06-19","(not set)",10,10
"2025-06-20","(not set)",11,11
"2025-06-21","(not set)",16,15
"2025-06-22","(not set)",14,13
"2025-06-23","(not set)",14,14
"2025-06-24","(not set)",15,15
"2025-06-25","(not set)",18,17
"2025-06-26","(not set)",18,18
"2025-06-27","(not set)",16,16
"2025-06-28","(not set)",14,14
"2025-06-29","(not set)",14,14
"2025-06-30","(not set)",14,14
"2025-07-01","(not set)",21,20
"2025-07-02","(not set)",11,11
"2025-07-03","(not set)",11,10
"2025-07-04","(not set)",13,13
"2025-07-05","(not set)",13,13
"2025-07-06","(not set)",14,14
"2025-07-07","(not set)",18,18
"2025-07-08","(not set)",13,13
"2025-07-09","(not set)",18,18
"2025-07-10","(not set)",23,22
"2025-07-11","(not set)",13,13
"2025-07-12","(not set)",14,13
"2025-07-13","(not set)",11,11
"2025-07-13","trial_white_animation_all_features",1,1
"2025-07-14","(not set)",3,3
"2025-07-15","(not set)",10,9
"2025-07-16","(not set)",19,17
"2025-07-17","(not set)",10,10
"2025-07-17","trial_white_animation_all_features",1,1
"2025-07-18","(not set)",15,15
"2025-07-19","(not set)",18,16
