Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-11-19","trial_white_animation_all_features",23,14
"2024-11-19","pro_promotion_urgent",1,1
"2024-11-19","trial",1,1
"2024-11-20","(not set)",2494,1579
"2024-11-20","trial_white_animation_all_features",25,20
"2024-11-20","adsfree_toggle_switch",1,1
"2024-11-21","(not set)",2296,1452
"2024-11-21","trial_white_animation_all_features",19,13
"2024-11-21","adsfree_toggle_switch",2,1
"2024-11-21","bottom_timer_black_friday",1,1
"2024-11-21","plans_offer_annual_highlighted",1,1
"2024-11-22","(not set)",2328,1451
"2024-11-22","trial_white_animation_all_features",9,9
"2024-11-22","adsfree_toggle_switch",2,2
"2024-11-22","plans_offer_annual_highlighted",1,1
"2024-11-22","pro_promotion_urgent",1,1
"2024-11-23","(not set)",2401,1441
"2024-11-23","trial_white_animation_all_features",16,15
"2024-11-23","pro_promotion_urgent",1,1
"2024-11-24","(not set)",2255,1405
"2024-11-24","trial_white_animation_all_features",18,15
"2024-11-24","adsfree_toggle_switch",4,3
"2024-11-24","adsfree",1,1
"2024-11-24","pro_promotion_urgent",1,1
"2024-11-25","(not set)",2339,1418
"2024-11-25","trial_white_animation_all_features",27,22
"2024-11-25","adsfree_toggle_switch",5,2
"2024-11-25","trial",2,2
"2024-11-25","bottom_timer_red",1,1
"2024-11-26","(not set)",2191,1321
"2024-11-26","trial_white_animation_all_features",86,55
"2024-11-26","adsfree_toggle_switch",11,7
"2024-11-26","plans_manage",1,1
"2024-11-27","(not set)",2521,1470
"2024-11-27","trial_white_animation_all_features",24,18
"2024-11-27","adsfree_toggle_switch",4,2
"2024-11-27","plans_offer_annual_highlighted",2,2
"2024-11-27","pro_promotion_urgent",1,1
"2024-11-28","(not set)",2415,1472
"2024-11-28","trial_white_animation_all_features",21,15
"2024-11-28","adsfree_toggle_switch",4,3
"2024-11-28","plans_offer_annual_highlighted",2,1
"2024-11-28","adsfree_promotion_lto",1,1
"2024-11-29","(not set)",2464,1454
"2024-11-29","trial_white_animation_all_features",17,13
"2024-11-29","adsfree_toggle_switch",1,1
"2024-11-30","(not set)",2510,1494
"2024-11-30","trial_white_animation_all_features",26,20
"2024-11-30","adsfree_toggle_switch",3,3
"2024-12-01","(not set)",2524,1516
"2024-12-01","trial_white_animation_all_features",13,10
"2024-12-01","plans_manage",3,2
"2024-12-01","plans_offer_annual_highlighted",3,1
"2024-12-01","pro_promotion_urgent",1,1
"2024-12-02","(not set)",2483,1548
"2024-12-02","trial_white_animation_all_features",19,16
"2024-12-02","adsfree_toggle_switch",3,3
"2024-12-02","plans_offer_annual_highlighted",1,1
"2024-12-03","(not set)",2528,1541
"2024-12-03","trial_white_animation_all_features",15,12
"2024-12-03","adsfree_toggle_switch",2,2
"2024-12-03","plans_offer_annual_highlighted",1,1
"2024-12-03","pro_promotion_urgent",1,1
"2024-12-04","(not set)",2655,1613
"2024-12-04","trial_white_animation_all_features",28,20
"2024-12-04","adsfree_toggle_switch",3,3
"2024-12-04","bottom_timer_red",1,1
"2024-12-04","pro_promotion_urgent",1,1
"2024-12-05","(not set)",2378,1473
"2024-12-05","trial_white_animation_all_features",25,19
"2024-12-05","trial",13,1
"2024-12-05","plans_offer_annual_highlighted",8,2
"2024-12-05","adsfree_toggle_switch",2,2
"2024-12-05","breachreport_monitoring_ultra",2,1
"2024-12-05","pro_promotion_urgent",1,1
"2024-12-06","(not set)",2454,1455
